superuser,62,3733,5371,3100,1497,3070,2448,7168,12996,24.6487096774194,13648,7283,6365,3576,4410,6144
superuser,63,3973,5669,3310,1594,3265,2466,7411,12960,23.7827794561934,16145,8886,7259,3718,5327,6388
superuser,64,4063,5700,3392,1656,3340,2609,7427,12866,24.5657429245283,14285,7773,6512,3673,4360,6478
superuser,65,3708,5004,3026,1429,3105,2385,5441,9303,25.3552544613351,13127,7388,5739,3516,3730,6138
superuser,66,3785,5385,3144,1489,3076,2485,5848,10948,24.7388676844784,13873,7587,6286,3580,3442,6121
superuser,67,4227,5861,3507,1679,3452,2684,7713,13891,24.3538637011691,15688,8565,7123,4097,5136,6797
superuser,68,3883,5390,3211,1576,3230,2643,6254,13710,24.8741824976643,13797,7168,6629,3932,4426,6588
superuser,69,3865,5276,3148,1497,3170,2578,5897,11087,24.0114358322745,13620,7252,6368,3820,4487,6489
superuser,70,3579,4880,2934,1447,2950,2382,5704,10548,24.4437627811861,13803,7540,6263,3780,5539,6157
superuser,71,3372,4661,2763,1275,2838,2256,5106,10094,24.5454216431415,12802,6846,5956,3522,3886,5850
superuser,72,3514,4983,2835,1280,2967,2421,4608,9269,24.2059964726631,14043,7585,6458,3775,4131,6334
superuser,73,3751,5217,3008,1376,3179,2688,5011,9717,25.0538563829787,14054,7674,6380,3844,4262,6710
superuser,74,3758,5243,2999,1349,3217,2688,6415,10923,24.3784594864955,13691,7466,6225,4000,5253,6848
superuser,75,3723,5202,3013,1307,3216,2666,4303,8180,24.1729173581148,13882,7524,6358,3991,4115,6819
superuser,76,4066,5504,3227,1401,3455,2780,5590,9437,24.060737527115,14738,8171,6567,4144,4392,7160
superuser,77,3543,4795,2783,1238,3071,2485,4702,8789,25.096658282429,13000,7137,5863,3755,3661,6461
superuser,78,3204,4397,2529,1192,2776,2247,3957,7969,25.9845788849348,12870,7134,5736,3552,4013,5888
superuser,79,3420,4658,2730,1208,2945,2450,3395,7714,25.2985347985348,13343,7335,6008,3771,3503,6318
superuser,80,3600,4677,2870,1296,3113,2476,3697,7635,25.3710801393728,13656,7578,6078,3895,3290,6551
superuser,81,3320,4387,2583,1126,2892,2308,3566,7063,25.4769647696477,12770,7136,5634,3667,3214,6141
superuser,82,3310,4386,2586,1204,2837,2278,3632,7327,25.6871616395978,12889,7175,5714,3690,3153,6024
superuser,83,3574,4992,2786,1223,3085,2451,4096,7858,24.8793969849246,15267,8419,6848,3995,4245,6455
superuser,84,3819,4935,2922,1276,3263,2468,5090,8512,24.6163586584531,15707,8624,7083,4127,4540,6697
superuser,85,3503,4657,2682,1212,2975,2428,4118,7190,25.5096942580164,14711,8144,6567,3958,3839,6372
superuser,86,4862,5976,3765,1735,4109,3089,11304,13593,24.8501992031873,18890,10539,8351,4822,6051,8142
superuser,87,4077,5260,3075,1384,3530,2672,5812,9605,25.3245528455285,16623,9112,7511,4482,4917,7257
superuser,88,3898,5058,2937,1303,3379,2562,4269,7857,25.5914198161389,15870,8833,7037,4305,4354,7043
superuser,89,3752,4821,2811,1211,3303,2575,3494,7599,25.9494841693348,15554,8811,6743,4435,4191,7098
superuser,90,3700,4702,2788,1162,3184,2460,3751,7532,24.8626255380201,14673,8417,6256,4213,4836,6803
superuser,91,3743,4656,2805,1219,3223,2358,3913,7374,24.8873440285205,16056,9337,6719,4224,4153,6722
superuser,92,3583,4748,2767,1255,3116,2432,3986,7411,25.004698229129,14970,8221,6749,4180,4135,6727
superuser,93,3418,4599,2663,1167,2956,2413,3383,6557,25.7127300037552,14316,7933,6383,3944,3681,6482
superuser,94,3579,4517,2637,1106,3113,2386,3423,7140,25.2078119074706,15078,8882,6196,4151,4618,6642
superuser,95,3367,4149,2420,1062,2928,2220,2356,4628,24.9157024793388,14523,8601,5922,3895,3519,6220
superuser,96,3373,4201,2450,1051,2899,2256,3452,6663,26.1534693877551,13286,7375,5911,3886,3615,6245
superuser,97,3530,4496,2613,1073,3087,2224,2845,6219,24.6069651741294,14641,8305,6336,4138,4072,6548
superuser,98,3669,4371,2658,1224,3147,2126,3659,6499,24.9672686230248,15472,8845,6627,4333,4368,6433
superuser,99,3930,3775,2337,1021,3450,1951,2177,4319,24.8891741548994,13961,8242,5719,3987,3178,6541
superuser,100,4082,3969,2315,999,3591,2128,2622,4586,25.6578833693305,13908,7865,6043,4152,3279,6958
superuser,101,3977,3869,2193,929,3503,2253,2301,4048,25.3552211582307,12672,7380,5292,3798,2808,6934
superuser,102,3916,3871,2114,905,3393,2184,2271,3901,26.2696310312204,12894,7433,5461,3883,3009,6818
superuser,103,3806,3972,2159,888,3282,2224,2286,5365,25.048633626679,13084,7607,5477,3717,3183,6600
superuser,104,4264,4288,2329,936,3712,2365,2019,3828,24.5740661227995,15216,8942,6274,4187,3199,7279
superuser,105,3959,4114,2230,948,3406,2240,3178,4402,24.8134529147982,13989,7838,6151,4009,3258,6877
superuser,106,3369,3423,1886,827,2917,1886,2530,4380,25.5148462354189,12759,7500,5259,3665,3152,6062
superuser,107,3310,3535,1872,777,2912,1969,2272,4895,25.4252136752137,12353,7219,5134,3688,4421,6146
superuser,108,3757,3601,1978,781,3237,1999,1949,3761,24.6850353892821,12412,7238,5174,3676,3223,6353
superuser,109,3743,3625,1912,782,3227,2069,1643,3637,25.5632845188285,12479,7252,5227,3738,3227,6461
superuser,110,3912,3734,1942,757,3353,2023,1570,2937,25.7677651905252,12965,7516,5449,3756,2802,6548
puzzling,5,120,274,120,111,57,118,997,2075,22.9666666666667,1221,390,831,195,965,234
puzzling,6,192,586,192,172,73,247,1786,5192,21.3489583333333,2602,946,1656,404,2455,483
puzzling,7,376,1141,374,339,140,413,3511,6885,22.0294117647059,5265,2119,3146,547,3965,685
puzzling,8,150,404,149,125,74,169,1998,3438,25.1476510067114,2051,840,1211,278,1580,339
puzzling,9,169,492,168,136,78,202,1558,3387,24.9702380952381,1977,774,1203,310,1358,394
puzzling,10,315,785,314,279,114,288,2077,4546,22.3726114649682,2493,825,1668,387,1423,504
puzzling,11,342,1106,339,296,142,407,3140,6259,22.0206489675516,4337,1541,2796,575,3325,729
puzzling,12,366,1140,363,316,165,395,2970,6141,21.1515151515152,5148,1995,3153,608,3249,745
puzzling,13,321,909,317,294,128,349,3089,5613,22.0410094637224,3969,1576,2393,515,2626,637
puzzling,14,268,899,267,228,116,347,2814,6159,21.1385767790262,3853,1475,2378,474,2448,609
puzzling,15,254,709,252,220,105,256,2587,4155,23.5079365079365,3245,1230,2015,376,1876,473
puzzling,16,255,732,254,215,118,279,2395,5014,22.8110236220472,4007,1515,2492,467,2666,544
puzzling,17,226,546,226,192,100,200,1608,2923,25.5044247787611,2570,996,1574,354,1388,414
puzzling,18,207,470,205,166,96,192,1295,2538,25.9121951219512,1703,606,1097,324,934,401
puzzling,19,124,314,123,103,75,149,941,1795,25.9430894308943,1426,531,895,245,680,300
puzzling,20,152,374,147,116,98,174,1238,2329,24.7142857142857,1333,543,790,260,854,347
puzzling,21,244,623,239,208,114,267,2052,3743,23.3179916317992,2857,1041,1816,427,1585,510
puzzling,22,292,772,288,251,131,293,2583,5522,23.7673611111111,2650,957,1693,456,2243,574
puzzling,23,397,1093,393,357,157,366,3490,6753,21.4325699745547,4051,1511,2540,520,2605,653
puzzling,24,341,988,340,301,165,352,3936,6982,21.7764705882353,4324,1530,2794,559,3177,688
puzzling,25,409,1248,407,342,221,536,4289,9128,22.3071253071253,5051,1596,3455,741,4199,978
puzzling,26,441,1412,437,377,219,522,3397,8142,21.9496567505721,5476,1764,3712,778,3520,993
puzzling,27,379,1168,377,331,204,497,3317,7391,19.9814323607427,4641,1532,3109,730,3462,945
puzzling,28,408,1109,404,347,194,415,3485,6590,20.1930693069307,4879,1817,3062,632,3172,796
puzzling,29,369,1037,364,309,166,346,3291,6121,22.1098901098901,4809,1763,3046,578,2885,704
puzzling,30,332,1123,329,281,157,359,2642,5670,19.6170212765957,4404,1561,2843,531,2105,675
puzzling,31,255,618,253,213,145,229,2270,3851,21.7351778656126,2968,1096,1872,427,1671,511
puzzling,32,244,636,243,203,128,234,2300,3947,19.8641975308642,2635,869,1766,412,1257,502
puzzling,33,316,754,311,263,140,246,2804,4485,21.4887459807074,3465,1323,2142,408,1761,500
puzzling,34,254,593,251,216,123,239,2387,4142,23.1394422310757,2525,844,1681,396,1453,496
puzzling,35,233,560,230,172,122,225,1719,3086,22.4913043478261,2579,1003,1576,359,1303,451
puzzling,36,198,496,191,151,104,211,1543,2609,24.0104712041885,2114,720,1394,313,987,417
puzzling,37,189,446,185,140,110,194,1437,2570,23.6702702702703,1661,588,1073,331,864,410
puzzling,38,204,414,198,168,121,180,1426,2312,22.9545454545455,2020,868,1152,343,1144,421
puzzling,39,236,572,226,187,126,243,1456,2665,25.3716814159292,2398,804,1594,381,1064,488
puzzling,40,165,423,152,99,93,196,903,2186,23.4934210526316,1525,563,962,327,810,427
cstheory,2,216,555,208,160,127,154,3520,6250,25.625,2109,935,1174,199,1757,263
cstheory,3,172,465,160,116,112,148,2923,5874,28.61875,1703,860,843,189,1956,244
cstheory,4,204,465,183,137,135,158,2644,5269,26.9672131147541,1484,773,711,192,1670,266
cstheory,5,120,264,110,77,92,123,1348,2545,29.2,961,500,461,168,1203,232
cstheory,6,150,307,139,93,117,141,1472,2377,28.8489208633094,1514,903,611,200,1560,267
cstheory,7,154,318,134,100,122,145,2017,3130,26.8582089552239,1248,687,561,199,1691,270
cstheory,8,140,285,118,76,117,134,1388,2216,27.7203389830508,1096,605,491,204,1048,265
cstheory,9,134,286,114,74,108,133,1383,2370,30.6929824561403,1134,586,548,195,1319,260
cstheory,10,104,211,93,59,92,118,934,1772,27.3655913978495,789,386,403,172,1002,244
cstheory,11,109,169,87,58,94,103,818,1301,27.264367816092,609,330,279,166,611,219
cstheory,12,109,170,92,53,85,93,975,1266,31.5652173913043,677,358,319,150,728,193
cstheory,13,131,206,106,66,100,109,1203,1568,31.4622641509434,1127,689,438,168,1091,231
cstheory,14,106,183,86,50,95,110,823,1228,32.4651162790698,779,453,326,160,697,228
cstheory,15,105,168,90,54,91,95,964,1504,30.5,726,422,304,169,835,228
cstheory,16,124,226,105,64,105,128,1161,1911,29.8285714285714,943,477,466,182,1035,247
cstheory,17,76,147,67,45,70,91,600,1009,25.6567164179104,558,327,231,143,683,197
cstheory,18,124,209,106,64,110,117,980,1197,28.7641509433962,804,454,350,191,772,258
cstheory,19,127,256,100,67,116,126,1021,1808,29.63,1016,534,482,196,1010,268
cstheory,20,116,180,93,56,100,100,960,1357,30,694,406,288,168,780,236
cstheory,21,96,135,79,46,90,97,556,837,28.6075949367089,532,308,224,149,496,218
cstheory,22,76,118,62,38,67,80,525,661,25.9193548387097,496,296,200,128,357,172
cstheory,23,86,126,75,43,78,81,642,827,23.64,586,329,257,143,515,195
cstheory,24,73,109,55,33,66,64,653,613,30.8909090909091,493,324,169,121,594,163
cstheory,25,94,111,64,33,83,63,707,694,29.984375,709,449,260,153,696,183
